Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
81,8.45184,-12.51410,-32.60800,-50.70380,4.24881,-12.06460,24.29310,43.13780,-15.19090,21.55050,11.77410,-12.13140,-30.40520,-14.70970,161.37700,-69.41310,164.76700,56.12670,865.79300,306.28400
82,8.43960,-12.49710,-32.59520,-50.66030,4.16940,-12.03040,24.06090,43.15320,-15.18550,21.52400,11.75270,-12.03120,-30.20460,-14.66110,161.35400,-69.43110,164.75000,56.15760,865.76500,306.40400
83,8.45157,-12.49520,-32.60310,-50.67290,4.14663,-12.03080,24.00520,43.21520,-15.21180,21.52110,11.73450,-12.03770,-30.15600,-14.66890,161.29400,-69.43600,164.70600,56.21190,865.79500,306.49100
84,8.44931,-12.49620,-32.59700,-50.66310,4.14786,-12.02740,23.99130,43.20890,-15.22820,21.50950,11.73080,-12.05180,-30.15460,-14.67050,161.25200,-69.44450,164.66500,56.27450,865.77600,306.56900
85,8.45299,-12.49430,-32.60210,-50.64830,4.14518,-12.02340,23.98710,43.24300,-15.24670,21.50450,11.71530,-12.07090,-30.13490,-14.68510,161.19800,-69.44800,164.62400,56.32220,865.76500,306.66700
86,8.44963,-12.49400,-32.60540,-50.66740,4.14101,-12.02930,23.97850,43.30640,-15.26460,21.50260,11.69870,-12.09700,-30.11790,-14.70020,161.14100,-69.44740,164.58100,56.37810,865.78100,306.76000
87,8.44771,-12.49100,-32.62980,-50.65550,4.14540,-12.01940,23.99870,43.28880,-15.27800,21.52500,11.70150,-12.11600,-30.14180,-14.70810,161.12300,-69.44960,164.56200,56.41530,865.75100,306.83600
88,8.44352,-12.47960,-32.63420,-50.65400,4.14910,-12.02130,24.04670,43.33240,-15.29120,21.52330,11.67630,-12.16950,-30.18170,-14.74510,161.06700,-69.45040,164.52500,56.46040,865.77400,306.93200
89,8.43636,-12.47200,-32.64690,-50.64570,4.15349,-12.00910,24.06390,43.28490,-15.30710,21.53200,11.67450,-12.19940,-30.20860,-14.75320,161.03100,-69.44750,164.49100,56.50980,865.75000,307.00600
90,8.44195,-12.46620,-32.69850,-50.64670,4.20404,-12.01310,24.28230,43.25330,-15.33700,21.57700,11.68010,-12.31430,-30.40790,-14.81170,160.99100,-69.43950,164.45600,56.54100,865.75600,307.04600
91,8.43346,-12.45610,-32.72000,-50.65350,4.21144,-12.00220,24.35490,43.24780,-15.34890,21.59530,11.67540,-12.35700,-30.46810,-14.83310,160.96000,-69.43640,164.42900,56.56280,865.76500,307.11500
92,8.43082,-12.44250,-32.74830,-50.62900,4.21560,-11.98700,24.40250,43.20450,-15.36550,21.62830,11.67120,-12.39890,-30.51010,-14.85380,160.92700,-69.42500,164.40300,56.57610,865.74500,307.19000
93,8.40982,-12.43600,-32.74890,-50.64860,4.14032,-11.97320,24.24030,43.31560,-15.33990,21.63080,11.63310,-12.32160,-30.35380,-14.83830,160.93200,-69.43160,164.43100,56.55780,865.76600,307.29500
94,8.41016,-12.44700,-32.78450,-50.65580,4.20860,-11.97190,24.45390,43.23110,-15.38040,21.67050,11.66000,-12.44300,-30.54480,-14.87720,160.87500,-69.41320,164.36300,56.59420,865.73100,307.32100
95,8.40136,-12.44040,-32.79170,-50.67640,4.21459,-11.97960,24.52080,43.28580,-15.37490,21.67550,11.63420,-12.48790,-30.60090,-14.91870,160.85700,-69.41320,164.36300,56.59990,865.75000,307.39000
96,8.38267,-12.43020,-32.77510,-50.66560,4.14482,-11.95300,24.33840,43.29550,-15.37750,21.66770,11.61480,-12.42440,-30.43650,-14.88090,160.80600,-69.40790,164.32300,56.59680,865.72800,307.50000
97,8.38102,-12.42770,-32.77950,-50.65820,4.12610,-11.94840,24.33850,43.34110,-15.35960,21.67110,11.59700,-12.41420,-30.44030,-14.89670,160.83500,-69.41380,164.36300,56.58880,865.72700,307.54700
98,8.38430,-12.42200,-32.78490,-50.67820,4.11875,-11.92970,24.33770,43.32980,-15.40960,21.66730,11.59690,-12.45940,-30.42990,-14.89440,160.71800,-69.39610,164.25200,56.63440,865.74700,307.61700
99,8.38799,-12.40420,-32.80560,-50.65010,4.11847,-11.90990,24.36300,43.28790,-15.42220,21.68240,11.60130,-12.47300,-30.45640,-14.89760,160.70400,-69.39440,164.23700,56.64490,865.72000,307.65200
100,8.38492,-12.39440,-32.80450,-50.65620,4.10739,-11.90250,24.38480,43.33000,-15.42750,21.67420,11.58140,-12.49920,-30.46700,-14.91820,160.67000,-69.38780,164.21800,56.63320,865.74900,307.71100
101,8.39620,-12.39340,-32.83800,-50.64050,4.18483,-11.89060,24.61350,43.21610,-15.45930,21.70030,11.61130,-12.61570,-30.68540,-14.95930,160.64900,-69.38030,164.18100,56.68720,865.71400,307.69300
